Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
298,1000,99.04,98.4,45395.16
299,1000,99.2,100.0,45835.92
300,1000,99.36,98.3,44129.83
301,1000,99.84,100.0,44757.02
302,1000,99.52,99.9,44503.36
303,1000,99.04,99.2,45274.02
304,1000,99.68,99.8,44854.77
305,1000,99.84,94.2,44907.83
306,623,100.0,99.2,26392.43
307,1000,99.52,99.1,43272.75
308,1000,99.04,97.9,44457.77
309,1000,99.36,99.1,45071.53
310,1000,99.52,97.4,45472.35
311,1000,99.84,97.4,44179.58
312,1000,99.52,93.2,44432.68
313,1000,99.36,99.0,46283.98
314,1000,97.28,98.8,45210.3
315,1000,99.2,98.2,45532.34
316,1000,99.52,99.4,46149.83
317,1000,99.52,97.7,46526.94
318,1000,98.56,97.6,43810.1
319,1000,99.68,99.2,44763.6
320,1000,99.52,97.7,45000.56
321,1000,98.56,99.8,44033.36
322,1000,99.84,98.7,46087.1
323,1000,97.44,99.7,45657.67
324,1000,99.36,98.6,44407.64
325,1000,99.36,99.6,28403.52
326,1000,99.04,98.3,24823.44
327,1000,99.36,89.6,25963.01
328,1000,99.04,99.2,26868.6
329,1000,99.84,98.6,26643.27
330,1000,99.36,98.9,27172.51
331,1000,98.4,99.4,26448.45
332,1000,99.84,99.3,27588.57
333,1000,99.52,98.8,28278.89
334,1000,99.84,99.9,26304.16
335,1000,99.52,96.5,26823.61
336,1000,99.04,99.7,26288.62
337,1000,99.68,99.9,27220.96
338,1000,99.84,99.3,26417.6
339,1000,99.84,98.0,25780.96
340,1000,99.84,98.8,26439.26
341,1000,98.72,99.4,25875.39
342,1000,98.56,98.3,26085.49
343,1000,99.52,99.1,29361.15
344,1000,98.88,97.8,50477.68
345,1000,99.84,100.0,49376.23
346,1000,97.92,99.3,48261.19
347,1000,99.68,99.8,50023.44
348,1000,99.04,97.7,49550.63
349,375,100.0,98.93,18722.38
350,1000,99.2,99.1,49721.22
351,1000,99.04,98.0,49665.3
352,1000,98.88,99.2,49224.26
353,1000,99.84,99.1,50446.7
354,1000,98.08,99.1,48814.45
355,1000,99.04,99.6,47006.56
356,1000,99.68,98.1,47206.78
357,1000,98.72,98.1,48511.2
358,1000,99.36,99.5,48637.36
359,504,100.0,96.63,24515.01
360,752,100.0,98.8,35924.77
361,1000,99.36,97.8,49104.35
362,1000,98.56,99.4,46787.62
363,1000,99.68,96.5,49396.0
364,1000,99.52,97.9,46418.88
365,1000,99.68,99.9,43852.75
366,1000,98.72,98.9,43118.83
367,1000,98.88,96.8,40883.09
368,1000,99.36,99.8,44789.04
369,1000,99.68,98.2,43715.97
370,1000,99.04,98.5,42313.54
371,1000,98.88,99.5,41781.53
372,1000,99.68,98.7,43602.95
373,1000,97.92,98.6,42835.44
374,1000,98.72,98.1,42353.62
375,1000,99.68,91.9,42399.19
376,1000,98.56,99.2,42596.5
377,1000,99.84,99.3,42265.73
378,1000,99.2,98.8,43358.76
379,1000,99.2,97.3,42993.71
380,1000,99.68,99.1,43516.48
381,1000,99.52,99.8,43253.23
382,1000,97.12,98.5,44169.82
383,1000,99.52,99.8,44059.49
384,1000,99.2,99.6,27852.35
385,1000,99.2,99.3,25424.83
386,1000,99.84,99.6,25315.92
387,1000,71.68,93.8,25326.47
388,1000,99.36,98.9,25186.22
389,1000,99.84,99.2,25465.79
390,1000,98.56,97.0,25435.82
391,1000,99.04,99.9,25471.44
392,1000,98.88,100.0,25831.42
393,1000,98.56,98.6,25207.12
394,1000,99.68,98.9,25605.25
395,365,100.0,95.07,9881.56
396,1000,99.68,98.8,25483.78
397,1000,99.68,99.8,27475.63
398,1000,99.68,97.7,25128.86
399,1000,97.44,94.8,26089.91
400,1000,99.36,95.3,26888.56
401,1000,99.52,97.0,26041.48
402,1000,99.2,100.0,25658.76
403,1000,99.52,97.8,25413.67
404,1000,98.24,97.3,25891.06
405,629,100.0,94.28,15923.52
406,1000,98.56,99.2,25405.28
407,1000,99.52,98.7,25423.72
408,1000,99.84,98.3,25297.02
409,1000,99.68,99.2,25541.77
410,1000,98.08,99.3,25488.82
411,1000,99.84,98.3,25953.42
412,1000,98.72,97.6,25340.03
413,1000,99.52,94.8,26708.88
414,1000,99.04,98.7,26416.23
415,1000,99.68,97.5,26280.11
416,1000,99.52,99.9,27112.75
417,1000,99.68,99.3,25881.88
418,1000,99.36,99.8,27127.05
419,1000,99.52,99.6,41137.94
420,1000,99.68,97.6,32814.33
421,1000,99.36,96.2,37960.23
422,1000,97.92,99.6,50296.4
423,1000,99.2,98.9,48463.54
424,1000,99.04,94.9,48146.22
425,1000,99.84,98.3,48517.43
426,1000,99.36,98.2,48447.46
427,1000,99.52,95.9,47604.14
428,1000,98.72,98.3,46926.54
429,1000,99.36,99.3,47567.99
430,1000,99.84,99.9,48679.04
431,1000,99.2,99.4,47752.59
432,1000,98.72,99.8,48057.0
433,1000,99.68,97.7,47800.82
434,1000,99.36,99.2,45821.91
435,1000,99.84,97.6,47885.38
436,239,100.0,98.74,10657.93
437,1000,99.04,98.1,44011.4
438,1000,99.84,99.4,44720.17
439,1000,99.84,99.8,43924.87
440,1000,99.68,99.7,46316.66
441,1000,99.36,99.4,48209.39
442,1000,99.84,98.2,49222.09
443,337,100.0,97.03,16786.19
444,734,100.0,97.55,29597.51
445,1000,99.52,98.4,25279.88
446,1000,99.84,97.9,25797.01
447,1000,99.68,99.9,25037.78
448,1000,99.2,98.7,25391.12
449,483,100.0,99.79,14498.49
450,1000,98.4,99.5,25827.01
451,1000,98.56,99.9,26115.47
452,1000,99.2,98.3,26135.03
453,1000,99.84,98.7,26075.86
454,1000,99.68,99.9,27219.69
455,1000,97.76,98.9,27424.77
456,1000,98.88,99.2,28143.51
