Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
232,1000,99.2,99.9,30240.78
233,1000,99.84,99.8,30417.64
234,347,100.0,99.71,10674.67
235,1000,99.04,100.0,29589.88
236,1000,98.72,100.0,29588.1
237,1000,99.68,99.8,29775.33
238,1000,98.56,98.4,29589.48
239,1000,98.4,99.8,29450.41
240,1000,98.4,97.6,29498.02
241,1000,98.4,99.2,29298.56
242,1000,99.04,99.8,29480.22
243,1000,99.84,99.2,29625.07
244,1000,99.52,99.9,30053.01
245,1000,99.52,99.7,29792.29
246,1000,99.52,99.5,29529.77
247,1000,99.52,98.2,29486.29
248,1000,98.88,99.8,29482.87
249,1000,99.84,100.0,29661.0
250,1000,99.36,99.7,29814.46
251,1000,99.2,99.7,29553.33
252,1000,96.32,100.0,29584.74
253,1000,99.04,98.9,29771.13
254,1000,99.04,99.5,30620.94
255,1000,98.56,99.9,30352.86
256,1000,99.68,99.9,30407.03
257,1000,98.4,99.1,30257.17
258,934,100.0,100.0,29462.76
259,1000,99.68,99.9,30230.22
260,1000,99.84,100.0,30448.06
261,1000,99.52,99.6,30179.13
262,1000,99.52,99.9,30304.12
263,1000,99.04,99.7,30426.47
264,1000,99.84,99.2,30848.83
265,565,100.0,99.82,17014.96
266,199,100.0,96.48,6081.26
267,1000,99.04,99.2,30490.08
268,1000,99.52,99.3,30522.06
269,1000,99.68,100.0,30233.28
270,1000,98.24,99.8,30264.94
271,1000,99.36,97.5,30602.13
272,227,100.0,99.12,6902.99
273,1000,99.68,99.8,30328.42
274,1000,99.68,99.0,29790.53
275,1000,99.36,99.7,30172.47
276,523,100.0,98.28,16308.07
277,1000,98.4,99.9,30027.29
278,1000,99.52,99.5,29765.43
279,1000,99.36,100.0,29871.33
280,170,100.0,100.0,5005.38
281,1000,97.12,99.8,29980.41
282,1000,98.4,99.9,30049.62
283,1000,98.72,100.0,29909.72
284,1000,99.84,99.5,29903.23
285,1000,99.52,99.7,33008.86
286,234,100.0,100.0,7762.87
287,1000,98.88,100.0,35618.01
288,1000,99.36,99.8,30568.34
289,1000,98.72,99.9,30177.34
290,1000,98.88,99.5,30193.16
291,1000,99.52,99.7,30075.09
292,1000,99.04,100.0,30048.92
293,1000,99.36,100.0,30220.02
294,1000,99.04,99.4,30007.47
295,1000,99.2,98.3,30153.49
296,1000,98.88,99.5,30056.77
297,1000,99.68,99.6,30230.77
298,1000,99.68,98.6,30152.05
299,1000,99.52,100.0,30065.95
300,1000,99.04,99.5,29964.05
301,510,100.0,100.0,15459.59
302,1000,99.52,99.6,30082.6
303,1000,99.36,99.6,29942.31
304,1000,98.56,99.4,30078.04
305,1000,99.84,99.4,30061.31
306,326,100.0,97.85,9744.04
307,1000,99.68,98.9,30174.53
308,1000,99.2,99.9,30469.84
309,1000,99.36,100.0,30599.42
310,1000,99.84,99.5,30290.62
311,1000,99.36,100.0,30243.69
312,1000,99.04,99.9,30251.42
313,1000,99.84,99.6,30106.58
314,1000,99.2,100.0,30349.54
315,1000,99.36,99.9,30121.61
316,1000,99.68,98.2,30150.65
317,1000,99.52,99.3,29818.01
318,1000,99.52,99.9,30419.91
319,1000,98.4,98.7,30080.95
320,1000,99.2,99.7,30152.33
321,1000,98.56,99.8,30110.45
322,1000,99.68,99.9,30060.89
323,1000,99.2,100.0,30038.16
324,1000,97.6,99.8,29956.41
325,1000,99.2,97.7,30085.54
326,1000,99.52,98.6,29941.12
327,1000,99.84,94.9,29850.5
328,1000,97.76,99.6,30173.32
329,369,100.0,99.19,11418.82
330,1000,99.36,100.0,30166.1
331,1000,99.84,99.8,30028.96
332,1000,99.36,99.9,30111.8
333,1000,99.84,99.4,29735.89
334,1000,99.84,99.5,29609.32
335,1000,99.68,99.7,29773.02
336,1000,99.52,99.9,29666.61
337,1000,99.04,99.0,29527.43
338,1000,99.68,99.8,29645.93
339,1000,98.72,98.8,30126.53
340,1000,99.68,100.0,29724.16
341,195,100.0,97.95,5729.02
342,1000,99.68,99.9,29499.09
343,1000,99.04,100.0,29657.43
344,1000,99.2,99.8,29639.01
345,1000,99.68,100.0,29508.49
346,1000,99.84,99.8,29610.19
347,242,100.0,99.17,7161.35
348,1000,99.36,100.0,30005.73
349,1000,99.68,98.7,29748.21
350,1000,98.88,100.0,30440.92
351,1000,98.72,100.0,30241.62
352,1000,99.84,100.0,29793.41
353,784,100.0,99.36,23324.0
354,1000,98.72,99.4,30536.32
355,1000,98.88,100.0,29968.21
356,1000,99.68,99.9,29592.14
357,1000,99.04,99.1,29692.0
358,1000,98.88,99.6,29461.89
359,391,100.0,100.0,11447.33
360,1000,99.52,99.1,29596.57
361,1000,99.68,99.9,29785.31
362,1000,99.52,100.0,29906.09
363,1000,98.72,100.0,29655.07
364,1000,97.92,100.0,29716.38
365,1000,99.36,100.0,29559.88
366,1000,99.2,100.0,29547.65
367,1000,99.68,99.7,29435.19
368,1000,99.84,99.8,29700.85
369,1000,99.52,99.9,29450.53
370,1000,99.68,100.0,29577.29
371,1000,99.68,99.9,29779.56
372,1000,99.52,100.0,30146.17
373,1000,99.52,99.9,29678.45
374,1000,99.2,99.6,29748.78
375,1000,99.84,100.0,29784.21
376,1000,99.68,99.7,29738.24
377,1000,99.36,99.4,29789.83
378,273,100.0,96.7,8280.05
379,1000,99.2,99.6,30023.49
380,1000,99.04,99.3,29633.93
381,1000,98.88,98.0,29592.2
382,1000,99.36,99.9,29991.19
383,255,100.0,100.0,7546.2
384,1000,99.36,99.9,29937.85
385,1000,99.68,100.0,29817.34
386,259,100.0,94.59,7758.29
387,1000,98.08,99.7,30122.73
388,1000,98.56,100.0,30659.34
389,1000,99.68,99.7,30462.53
390,1000,99.36,99.3,30362.36
391,1000,99.04,100.0,30474.34
392,1000,98.56,100.0,30079.66
393,1000,99.84,99.9,30241.78
394,1000,99.52,99.9,30497.98
395,460,100.0,99.57,13852.9
396,1000,99.84,100.0,30221.74
397,1000,99.68,99.9,30440.58
398,1000,99.84,99.9,30395.47
399,1000,99.52,94.4,30160.15
400,815,100.0,97.42,24492.85
401,1000,99.84,98.7,30383.95
402,1000,99.36,99.6,30254.76
403,1000,99.68,99.3,30063.11
404,1000,99.84,99.9,30327.71
405,832,100.0,99.04,25064.26
406,1000,98.72,100.0,30134.4
407,1000,99.68,100.0,30130.28
408,1000,99.36,99.7,30112.14
409,1000,98.08,99.1,30199.65
410,1000,99.68,100.0,30175.15
411,460,100.0,99.13,13977.71
412,1000,99.36,99.2,30267.07
413,1000,99.36,99.4,30431.57
414,1000,99.52,100.0,30545.49
415,1000,98.4,99.9,30814.25
416,1000,99.36,99.7,30367.23
417,1000,99.52,99.9,30745.91
418,381,100.0,96.59,11649.75
419,1000,99.84,99.8,30357.38
420,1000,99.84,99.5,30328.05
421,1000,99.68,100.0,30296.4
422,1000,98.24,98.2,30654.05
423,1000,99.84,99.7,30259.13
424,1000,99.36,98.6,31817.75
425,1000,99.68,98.8,32669.05
426,1000,98.88,100.0,31117.25
427,925,100.0,99.89,29005.73
428,1000,97.92,98.7,30796.3
429,1000,99.2,99.5,30908.17
430,1000,98.88,99.3,30678.37
431,1000,99.2,100.0,30433.24
432,1000,98.72,99.7,30612.16
433,1000,99.84,99.7,30687.68
434,843,100.0,100.0,25871.24
435,1000,99.52,99.8,30651.53
436,1000,99.68,99.5,30971.59
437,1000,99.36,99.6,30579.38
438,1000,99.04,99.8,30389.34
439,1000,99.52,100.0,30650.88
440,1000,99.84,99.7,30526.72
441,1000,98.4,99.0,29367.3
442,1000,99.52,99.9,29765.56
443,1000,99.04,99.7,29280.73
444,1000,99.2,99.8,29140.05
445,1000,98.56,99.5,30302.7
446,1000,99.84,99.8,29510.94
447,1000,99.68,99.9,29465.67
448,264,100.0,99.24,7790.42
449,1000,99.84,99.9,30091.63
450,1000,99.36,100.0,30178.9
451,1000,99.84,99.3,30083.73
452,1000,98.88,100.0,30091.24
453,1000,99.2,99.9,30207.07
454,1000,99.84,99.9,30046.42
455,1000,99.68,100.0,30114.41
456,1000,98.88,98.6,30471.97
457,1000,99.52,100.0,30175.45
458,1000,99.84,97.8,30373.72
459,1000,99.2,100.0,30114.93
460,1000,99.52,99.9,30429.09
461,1000,99.36,99.9,30177.64
462,1000,99.2,99.8,30399.17
463,1000,99.2,100.0,30313.26
464,1000,99.84,100.0,30088.95
465,1000,99.84,99.7,30261.44
466,1000,99.2,99.7,30304.35
467,1000,98.56,99.9,29935.97
468,1000,99.2,100.0,29963.6
469,1000,98.4,100.0,30056.26
470,1000,99.2,99.7,29991.0
471,1000,99.52,99.8,29788.86
472,1000,99.36,100.0,29712.76
473,1000,99.52,99.3,29945.25
474,1000,99.68,98.9,30136.07
475,1000,99.52,97.9,30178.53
476,1000,99.52,100.0,30771.63
477,1000,99.04,99.7,30277.17
478,1000,99.2,99.8,30139.86
479,1000,99.36,99.8,30084.53
480,1000,98.72,99.5,29937.56
481,1000,98.88,99.5,30207.51
482,1000,98.56,99.7,30431.96
483,1000,99.68,99.7,30143.75
484,1000,99.84,99.7,30132.7
485,1000,99.36,97.9,30474.31
486,1000,98.56,99.6,30611.53
487,1000,99.52,100.0,30476.34
488,1000,99.68,99.6,30136.64
489,1000,99.84,99.8,30402.37
490,1000,96.96,97.8,30204.86
491,1000,99.36,100.0,30266.74
492,1000,97.12,98.6,30273.94
493,424,100.0,100.0,12703.9
494,864,100.0,98.73,25982.38
495,1000,99.04,100.0,30074.14
496,1000,98.24,99.8,30235.83
497,1000,99.52,100.0,30759.52
498,1000,99.68,100.0,30162.45
499,1000,99.2,99.9,30200.26
500,1000,99.68,99.1,29934.49
