Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
465,1000,98.24,90.7,86457.36
466,1000,99.68,99.8,86524.89
467,1000,99.52,99.8,86154.53
468,1000,99.68,99.5,86349.99
469,1000,99.68,99.9,86292.34
470,1000,99.84,100.0,86650.46
471,216,100.0,100.0,18804.39
472,1000,99.36,100.0,86385.25
473,1000,98.72,100.0,86557.23
474,1000,99.68,100.0,86138.86
475,1000,99.84,99.9,86060.82
476,1000,99.84,100.0,86335.05
477,1000,98.88,100.0,86228.01
478,1000,99.68,98.4,86210.06
479,1000,99.84,100.0,86442.25
480,1000,99.68,99.7,86234.79
481,1000,98.72,100.0,86081.42
482,1000,98.72,100.0,86765.39
483,1000,99.68,100.0,87152.4
484,240,100.0,99.58,20892.5
485,1000,99.68,100.0,86323.11
486,1000,99.2,99.0,86426.68
487,1000,99.52,99.6,86365.5
488,1000,99.84,98.1,87452.25
489,408,100.0,100.0,35326.93
490,1000,99.68,99.7,87023.99
491,1000,99.52,100.0,86998.72
492,1000,99.84,98.8,86446.59
493,351,100.0,100.0,30413.03
494,1000,99.52,100.0,86631.18
495,659,100.0,99.39,57340.61
496,1000,99.68,99.8,86434.57
497,1000,99.84,92.3,86408.08
498,1000,98.88,98.7,85130.36
499,1000,99.36,98.9,86308.34
500,1000,99.84,99.9,86371.45
